period,demand_MW,solar_MW,wind_MW,net_load_MW
2023-04-24 17:00:00,41648,6567,6732,28349
2023-04-24 18:00:00,41700,8079,8512,25109
2023-04-24 19:00:00,42026,9535,8687,23804
2023-04-24 20:00:00,42262,9982,8375,23905
2023-04-24 21:00:00,42564,9868,8570,24126
2023-04-24 22:00:00,43188,8484,8140,26564
2023-04-24 23:00:00,43681,7435,9258,26988
2023-04-25 00:00:00,43762,5597,10020,28145
2023-04-25 01:00:00,43882,2120,11594,30168
2023-04-25 02:00:00,44490,65,13322,31103
2023-04-25 03:00:00,43423,0,13826,29597
2023-04-25 04:00:00,41062,0,13814,27248
2023-04-25 05:00:00,38375,0,13496,24879
2023-04-25 06:00:00,36378,0,13668,22710
2023-04-25 07:00:00,35176,0,13325,21851
2023-04-25 08:00:00,34555,0,12862,21693
2023-04-25 09:00:00,34332,0,10918,23414
2023-04-25 10:00:00,34755,0,10046,24709
2023-04-25 11:00:00,36552,0,8158,28394
2023-04-25 12:00:00,39314,0,7974,31340
2023-04-25 13:00:00,40513,300,8785,31428
2023-04-25 14:00:00,41233,2943,8832,29458
2023-04-25 15:00:00,42155,5265,9920,26970
2023-04-25 16:00:00,43059,7128,11200,24731
2023-04-25 17:00:00,44029,8276,11797,23956
2023-04-25 18:00:00,44590,8890,11284,24416
2023-04-25 19:00:00,44968,9124,10842,25002
2023-04-25 20:00:00,45473,9386,9884,26203
2023-04-25 21:00:00,46022,8914,9591,27517
2023-04-25 22:00:00,46944,8745,9760,28439
2023-04-25 23:00:00,47704,7577,10965,29162
2023-04-26 00:00:00,47504,5972,12948,28584
2023-04-26 01:00:00,47219,2027,15683,29509
2023-04-26 02:00:00,47319,44,17692,29583
2023-04-26 03:00:00,46689,0,20420,26269
2023-04-26 04:00:00,44114,0,21030,23084
2023-04-26 05:00:00,41349,0,19920,21429
2023-04-26 06:00:00,39102,0,19587,19515
2023-04-26 07:00:00,37741,0,19174,18567
2023-04-26 08:00:00,36732,0,17349,19383
2023-04-26 09:00:00,36346,0,16625,19721
2023-04-26 10:00:00,36653,0,16384,20269
2023-04-26 11:00:00,38183,0,15689,22494
2023-04-26 12:00:00,40756,0,13982,26774
2023-04-26 13:00:00,42316,467,11694,30155
2023-04-26 14:00:00,43372,3780,11638,27954
2023-04-26 15:00:00,44401,6998,11812,25591
2023-04-26 16:00:00,45402,8376,9618,27408
2023-04-26 17:00:00,46393,8601,7353,30439
2023-04-26 18:00:00,47614,8895,6799,31920
2023-04-26 19:00:00,48924,9197,6983,32744
2023-04-26 20:00:00,49746,9308,7463,32975
2023-04-26 21:00:00,50697,9084,8137,33476
2023-04-26 22:00:00,51459,7839,9103,34517
2023-04-26 23:00:00,51945,7165,11182,33598
2023-04-27 00:00:00,51401,5632,12172,33597
2023-04-27 01:00:00,50475,1989,14303,34183
2023-04-27 02:00:00,50230,58,16813,33359
2023-04-27 03:00:00,48705,0,17553,31152
2023-04-27 04:00:00,45804,0,15802,30002
2023-04-27 05:00:00,42606,0,13811,28795
2023-04-27 06:00:00,40026,0,12587,27439
2023-04-27 07:00:00,38342,0,11369,26973
2023-04-27 08:00:00,36984,0,10111,26873
2023-04-27 09:00:00,36377,0,9778,26599
