period,respondent,respondent-name,type,type-name,value,value-units
2023-01-04T03,CISO,California Independent System Operator,TI,Total interchange,-6280,megawatthours
2023-01-04T04,CISO,California Independent System Operator,D,Demand,28764,megawatthours
2023-01-04T04,CISO,California Independent System Operator,DF,Day-ahead demand forecast,25965,megawatthours
2023-01-04T04,CISO,California Independent System Operator,NG,Net generation,20529,megawatthours
2023-01-04T04,CISO,California Independent System Operator,TI,Total interchange,-6928,megawatthours
2023-01-04T05,CISO,California Independent System Operator,D,Demand,28294,megawatthours
2023-01-04T05,CISO,California Independent System Operator,DF,Day-ahead demand forecast,25126,megawatthours
2023-01-04T05,CISO,California Independent System Operator,NG,Net generation,19710,megawatthours
2023-01-04T05,CISO,California Independent System Operator,TI,Total interchange,-7079,megawatthours
2023-01-04T06,CISO,California Independent System Operator,D,Demand,27589,megawatthours
2023-01-04T06,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24292,megawatthours
2023-01-04T06,CISO,California Independent System Operator,NG,Net generation,19300,megawatthours
2023-01-04T06,CISO,California Independent System Operator,TI,Total interchange,-6618,megawatthours
2023-01-04T07,CISO,California Independent System Operator,D,Demand,26630,megawatthours
2023-01-04T07,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22928,megawatthours
2023-01-04T07,CISO,California Independent System Operator,NG,Net generation,18204,megawatthours
2023-01-04T07,CISO,California Independent System Operator,TI,Total interchange,-6111,megawatthours
2023-01-04T08,CISO,California Independent System Operator,D,Demand,25085,megawatthours
2023-01-04T08,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21585,megawatthours
2023-01-04T08,CISO,California Independent System Operator,NG,Net generation,16930,megawatthours
2023-01-04T08,CISO,California Independent System Operator,TI,Total interchange,-6191,megawatthours
2023-01-04T09,CISO,California Independent System Operator,D,Demand,23884,megawatthours
2023-01-04T09,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21338,megawatthours
2023-01-04T09,CISO,California Independent System Operator,NG,Net generation,16316,megawatthours
2023-01-04T09,CISO,California Independent System Operator,TI,Total interchange,-6067,megawatthours
2023-01-04T10,CISO,California Independent System Operator,D,Demand,23211,megawatthours
2023-01-04T10,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20582,megawatthours
2023-01-04T10,CISO,California Independent System Operator,NG,Net generation,15724,megawatthours
2023-01-04T10,CISO,California Independent System Operator,TI,Total interchange,-6083,megawatthours
2023-01-04T11,CISO,California Independent System Operator,D,Demand,22651,megawatthours
2023-01-04T11,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20204,megawatthours
2023-01-04T11,CISO,California Independent System Operator,NG,Net generation,15398,megawatthours
2023-01-04T11,CISO,California Independent System Operator,TI,Total interchange,-5905,megawatthours
2023-01-04T12,CISO,California Independent System Operator,D,Demand,22159,megawatthours
2023-01-04T12,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20135,megawatthours
2023-01-04T12,CISO,California Independent System Operator,NG,Net generation,15172,megawatthours
2023-01-04T12,CISO,California Independent System Operator,TI,Total interchange,-5793,megawatthours
